excerpt_id,article_id,title,file_path,excerpt_type,tags,para_start,para_end,text
A001-opening,A001,山雾零星,data/articles/0001-零星.txt,开头钩子,系统/攻略|弹幕/评论|甜虐关系|开头钩子|信息外挂|人设亮相,1,5,"攻略阴郁男主成功后，我选择立即脱离世界。
哪怕他卑微地求我留下，也没为他停留一秒。
后来在现实世界，我过得实在不好。
系统找上我，用五百万做交换，让我回到书里再攻略他一次。
我刚要答应，眼前忽然划过弹幕："
A001-intro,A001,山雾零星,data/articles/0001-零星.txt,主角亮相,系统/攻略|弹幕/评论|甜虐关系|主角亮相|信息外挂|人设亮相,5,5,我刚要答应，眼前忽然划过弹幕：
A001-dialogue,A001,山雾零星,data/articles/0001-零星.txt,高张力对白,系统/攻略|弹幕/评论|甜虐关系|高张力对白|轻喜反差|情感拉扯,7,7,「笑死了，她不会以为男主还爱着她吧？」
A001-ending,A001,山雾零星,data/articles/0001-零星.txt,结尾余韵,系统/攻略|弹幕/评论|甜虐关系|结尾余韵|轻喜反差|人设亮相,851,853,"「沈折星啊, 你可以放心啦。」
看着眼前似乎要将我抱紧的大树。
我眼睛有些红，还是笑眯眯地说：「你看，我过得这么幸福。」"
A002-opening,A002,冰霜画作,data/articles/0002-旧时雨.txt,开头钩子,古言/宫廷|重逢修罗场|开头钩子|关系破裂|人设亮相,1,5,"十六岁那年冬天，我瞧见长姐将手探进萧执敞开的貂裘衣襟，滑向他的腰腹。
少年身形微顿，却未阻拦，只由着那指尖游走。
二十岁，萧执奉旨娶了我。
可满长安都知道，靖王府的书房里，挂着他和长姐同游的画作。
二十三岁秋，我将和离书递到他面前。"
A002-intro,A002,冰霜画作,data/articles/0002-旧时雨.txt,主角亮相,古言/宫廷|重逢修罗场|主角亮相|人设亮相,1,1,十六岁那年冬天，我瞧见长姐将手探进萧执敞开的貂裘衣襟，滑向他的腰腹。
A002-dialogue,A002,冰霜画作,data/articles/0002-旧时雨.txt,高张力对白,古言/宫廷|重逢修罗场|高张力对白|关系破裂|人设亮相,55,55,「昭儿，我平日是如何教你的？和离岂有将嫁妆尽数带回的道理？」
A002-ending,A002,冰霜画作,data/articles/0002-旧时雨.txt,结尾余韵,古言/宫廷|重逢修罗场|结尾余韵|轻喜反差|情感拉扯|人设亮相,555,557,"我握住他的手, 也笑了起来：
「是，自己选的夫君，任性也得纵着。」
还能如何？"
A003-opening,A003,贵族老登,data/articles/0003-真千金爹味太重.txt,开头钩子,真假千金|身份反差|开头钩子|人设亮相,1,5,"我今年 58。
勾心斗角半辈子，这几年退居二线享清福。
整天就是找老朋友喝喝酒，钓钓鱼，聊聊中美局势和贸易战。
前几天小女儿在看短剧，叫什么「假千金是团宠」，吵吵得吃个饭都不安宁。
我看了几眼就发现这东西三观不正，夸大其词。"
A003-intro,A003,贵族老登,data/articles/0003-真千金爹味太重.txt,主角亮相,真假千金|身份反差|主角亮相|人设亮相,1,1,我今年 58。
A003-dialogue,A003,贵族老登,data/articles/0003-真千金爹味太重.txt,高张力对白,真假千金|身份反差|高张力对白|轻喜反差|人设亮相,39,39,我自然不会跟小辈计较，哈哈一笑道：「顾总放心！咱们中国人，讲究一个和谐、和睦，家和万事兴！」
A003-ending,A003,贵族老登,data/articles/0003-真千金爹味太重.txt,结尾余韵,真假千金|身份反差|结尾余韵|人设亮相,338,340,"顾家有我，可真是年年有鱼了！
——全文完——
———-(已完结)———-"
A004-opening,A004,痞魅扶光,data/articles/0004-扶光和鸾.txt,开头钩子,真假千金|都市婚恋|开头钩子|人设亮相,1,5,"成婚三年，我和谢扶光还是不熟。
白天他不在家，晚上他睡书房，从来不碰我。
正逢真千金归来，爹娘说要拨乱反正，逼我让出谢夫人的位置。
我想着问问他的意见，特地熬了碗鸡汤来到书房。
谢扶光头都没抬。"
A004-intro,A004,痞魅扶光,data/articles/0004-扶光和鸾.txt,主角亮相,真假千金|都市婚恋|主角亮相|人设亮相,1,1,成婚三年，我和谢扶光还是不熟。
A004-dialogue,A004,痞魅扶光,data/articles/0004-扶光和鸾.txt,高张力对白,真假千金|都市婚恋|高张力对白|人设亮相,88,88,「我会远离京城，永不再回。」
A004-ending,A004,痞魅扶光,data/articles/0004-扶光和鸾.txt,结尾余韵,真假千金|都市婚恋|结尾余韵,782,784,"年年岁岁乐于斯。
谢扶光，庆幸遇见你。
———-(已完结)———-"
A005-opening,A005,酒午龙蛋,data/articles/0005-驯龙法则.txt,开头钩子,奇幻/异种|危机压身|开头钩子|危机感|人设亮相,1,5,"父亲要把我送给邻国的老国王联姻。
不甘心的我把灵魂卖给了恶龙。
「作为交换，我要你的第一个孩子，否则，我会亲手收割你的灵魂。」
红色恶龙居高临下，眼神冰冷。
复仇成功后，我却反悔了，不愿献祭自己的孩子。"
A005-intro,A005,酒午龙蛋,data/articles/0005-驯龙法则.txt,主角亮相,奇幻/异种|危机压身|主角亮相|危机感|人设亮相,1,1,父亲要把我送给邻国的老国王联姻。
A005-dialogue,A005,酒午龙蛋,data/articles/0005-驯龙法则.txt,高张力对白,奇幻/异种|危机压身|高张力对白|人设亮相,3,3,「作为交换，我要你的第一个孩子，否则，我会亲手收割你的灵魂。」
A005-ending,A005,酒午龙蛋,data/articles/0005-驯龙法则.txt,结尾余韵,奇幻/异种|危机压身|结尾余韵|人设亮相,685,687,"「我会向你证明，我才是你最适合的伴侣。」
他展开翅膀，带我朝我的王国飞去。
那是另一个故事的开始。"
A006-opening,A006,40 度高温，爸妈把我房间昨天刚装上的空调，拆到了弟弟房间。,data/articles/0006-40度高温，爸妈拆我房间的空调.txt,开头钩子,校园|甜虐关系|开头钩子|轻喜反差|情感拉扯|人设亮相,1,5,"我没哭没闹，默默收拾行李：「我要搬出去住！」
他们吓了一跳，继⽽笑了：「萍萍，我们又怎么你了？」
「没有空调怎么住？」我泪眼婆娑。
爸妈愣了，想像从前一样拿捏我：「就为了个空调你闹什么脾⽓？我们以前没空调不也过来了？」
「晚上去你最爱的那家茶餐厅吃饭，总行了吧？」"
A006-intro,A006,40 度高温，爸妈把我房间昨天刚装上的空调，拆到了弟弟房间。,data/articles/0006-40度高温，爸妈拆我房间的空调.txt,主角亮相,校园|甜虐关系|主角亮相|人设亮相,1,1,我没哭没闹，默默收拾行李：「我要搬出去住！」
A006-dialogue,A006,40 度高温，爸妈把我房间昨天刚装上的空调，拆到了弟弟房间。,data/articles/0006-40度高温，爸妈拆我房间的空调.txt,高张力对白,校园|甜虐关系|高张力对白|情感拉扯,5,5,「晚上去你最爱的那家茶餐厅吃饭，总行了吧？」
A006-ending,A006,40 度高温，爸妈把我房间昨天刚装上的空调，拆到了弟弟房间。,data/articles/0006-40度高温，爸妈拆我房间的空调.txt,结尾余韵,校园|甜虐关系|结尾余韵,378,380,"大哥最后说：
「小叔和小婶……真的老了很多。」
「他俩总喃喃自语，要是当初，没拆萍萍那台空调就好了……」"
A007-opening,A007,表兄醉酒奸污了小妹。,data/articles/0007-我佛慈悲，一刀杀了.txt,开头钩子,其他|开头钩子|人设亮相,1,5,"不甚在意地说，「大不了我纳她为妾就是。」
祖母说，「她相貌粗陋，当真是委屈我的宝贝外孙了。」
母亲口称阿弥陀佛，「这一回，她也算是因祸得福了。」
我拿柳条狠狠抽打表兄。
告诉所有人，「我朝律法，强奸十二岁以下幼女者，死刑。」"
A007-intro,A007,表兄醉酒奸污了小妹。,data/articles/0007-我佛慈悲，一刀杀了.txt,主角亮相,其他|主角亮相|人设亮相,4,4,我拿柳条狠狠抽打表兄。
A007-dialogue,A007,表兄醉酒奸污了小妹。,data/articles/0007-我佛慈悲，一刀杀了.txt,高张力对白,其他|高张力对白|人设亮相,24,24,「外祖母，我喝多了认错了人，以为是我房里的姑娘呢。不然，我怎么会挨四表妹？她那张脸，我平日里见了都是绕道走的。」
A007-ending,A007,表兄醉酒奸污了小妹。,data/articles/0007-我佛慈悲，一刀杀了.txt,结尾余韵,其他|结尾余韵,370,372,"小四一直没有嫁人，她是怀远侯府的老姑娘，可除了些许无伤⼤雅的流言蜚语, 这件事并没有对她产生多大影响。
侯府的孩⼦叫她姑姑，她有亲⼈、有家⼈、有朋友、有忠仆, ⽇子热闹，生活顺遂。
她只是没有夫婿，仅此而已。"
A008-opening,A008,新婚夜，老公逼我玩一个小游戏。,data/articles/0008-心迷宫.txt,开头钩子,都市婚恋|开头钩子|人设亮相,1,4,"交换秘密，交换彼此内心最深的秘密。
周烨半真半假：「我曾睡过你的闺蜜，我主动的。」
轮到我，我沉默片刻：
「我杀过人，你信吗？」"
A008-intro,A008,新婚夜，老公逼我玩一个小游戏。,data/articles/0008-心迷宫.txt,主角亮相,都市婚恋|主角亮相|人设亮相,23,23,我们抱头痛哭，爸爸发誓一定洗心革面。
A008-dialogue,A008,新婚夜，老公逼我玩一个小游戏。,data/articles/0008-心迷宫.txt,高张力对白,都市婚恋|高张力对白|情感拉扯|人设亮相,7,7,「亲爱的，你是气我刚说的吗？逗你玩而已，我只是喜欢你吃醋的样子。」
A008-ending,A008,新婚夜，老公逼我玩一个小游戏。,data/articles/0008-心迷宫.txt,结尾余韵,都市婚恋|结尾余韵|人设亮相,404,406,"终于可以开始谱写结局了。
这个，我们等待了十五年的——
真正结局。"
A009-opening,A009,我不好惹袁梦,data/articles/0009-我不好惹.txt,开头钩子,都市婚恋|现实反差|甜虐关系|开头钩子|情感拉扯|人设亮相,1,5,"入职第二个月，收到一张结婚请柬。
「亲爱的，你就是新来的袁梦吧？下个月我结婚，一定要来啊！」
看着眼前的陌生女人，我一脸懵，
「我是事业三部的周乔，加个微信，以后就是自己人了。」
我看着眼前递过来二维码，嘴角抽了抽，"
A009-intro,A009,我不好惹袁梦,data/articles/0009-我不好惹.txt,主角亮相,都市婚恋|现实反差|甜虐关系|主角亮相|人设亮相,5,5,我看着眼前递过来二维码，嘴角抽了抽，
A009-dialogue,A009,我不好惹袁梦,data/articles/0009-我不好惹.txt,高张力对白,都市婚恋|现实反差|甜虐关系|高张力对白|情感拉扯|人设亮相,2,2,「亲爱的，你就是新来的袁梦吧？下个月我结婚，一定要来啊！」
A009-ending,A009,我不好惹袁梦,data/articles/0009-我不好惹.txt,结尾余韵,都市婚恋|现实反差|甜虐关系|结尾余韵|人设亮相,641,643,"我低头喝了口汤。
烫，很烫。
正好。"
A010-opening,A010,校霸发校园墙怒骂——,data/articles/0010-抓走了校霸的戒指怎么办.txt,开头钩子,弹幕/评论|校园|甜虐关系|开头钩子|轻喜反差|情感拉扯|人设亮相,1,5,"「是谁酒吧抓手指把我戒指抓走了？？？」
室友看着帖子笑得大声。
我抓着手里的戒指冷汗直冒，「是，是这个吗？」
后来，我把戒指还给裴澄，转身就跑。
他却拉着我说，「我喜欢你好久了。」"
A010-intro,A010,校霸发校园墙怒骂——,data/articles/0010-抓走了校霸的戒指怎么办.txt,主角亮相,弹幕/评论|校园|甜虐关系|主角亮相|人设亮相,3,3,我抓着手里的戒指冷汗直冒，「是，是这个吗？」
A010-dialogue,A010,校霸发校园墙怒骂——,data/articles/0010-抓走了校霸的戒指怎么办.txt,高张力对白,弹幕/评论|校园|甜虐关系|高张力对白,9,9,「欸，醒啦？你喝醉了怎么睡这么死，叫都叫不醒。」
